# Theta: 0.600058
# Slit 1 (h x w): 0.394 x 20
# Slit 2 (h x w): 0.25024 x 20.0003
# Q, wavelength, counts/mC, error
0.00970727 13.5574 26.5908 0.504595
0.00990141 13.2915 29.7411 0.533649
0.0100994 13.0309 34.184 0.572122
0.0103014 12.7754 38.0716 0.603779
0.0105075 12.5249 42.3039 0.636455
0.0107176 12.2793 48.9779 0.684822
0.010932 12.0386 55.8147 0.731058
0.0111506 11.8025 62.1728 0.771574
0.0113736 11.5711 68.2436 0.808366
0.0116011 11.3442 78.5466 0.867244
0.0118331 11.1218 86.7431 0.911371
