# Theta: 2.34284
# Slit 1 (h x w): 1.52 x 20
# Slit 2 (h x w): 0.97624 x 20.0003
# Q, wavelength, counts/mC, error
0.08919 5.75959 23883.9 727.1
0.0909738 5.64666 24838.4 739.551
0.0927933 5.53594 26463.3 761.396
0.0946492 5.42739 28465.3 787.671
0.0965422 5.32097 31229.4 822.967
0.098473 5.21664 32500.2 837.479
0.100442 5.11435 32665 837.564
0.102451 5.01407 35928.9 876.315
0.1045 4.91576 36823.7 885.073
0.10659 4.81937 38389.6 901.601
0.108722 4.72487 41376.3 933.88
0.110897 4.63223 37644.3 888.766
0.113115 4.5414 39566.9 909.162
0.115377 4.45235 40559.3 918.488
0.117684 4.36505 40261.1 913.141
0.120038 4.27946 41390.4 923.902
0.122439 4.19555 43231 942.257
0.124888 4.11328 41254.2 918.576
0.127385 4.03263 38867.6 889.812
0.129933 3.95356 38185.9 880.224
0.132532 3.87604 41432.3 915.086
0.135182 3.80004 40769.8 905.995
0.137886 3.72553 42922.2 927.844
0.140644 3.65248 45340.2 951.845
0.143457 3.58086 44696.4 943.331
0.146326 3.51065 44813 942.858
0.149252 3.44181 45563.5 949.033
0.152237 3.37433 48359.3 976.01
0.155282 3.30816 47329.6 963.905
0.158388 3.2433 47756.7 966.609
0.161555 3.1797 47637.1 963.793
0.164786 3.11736 49502.8 980.88
0.168082 3.05623 48510.7 969.439
0.171444 2.9963 46503.5 947.67
0.174873 2.93755 48842.5 969.7
0.17837 2.87995 46946.6 949.239
0.181938 2.82349 44930.2 927.233
0.185576 2.76812 46629 943.203
0.189288 2.71385 45218.9 927.481
0.193074 2.66063 46227.8 936.43
