# Theta: 4.63906
# Slit 1 (h x w): 3.016 x 20
# Slit 2 (h x w): 1.93296 x 20.0002
# Q, wavelength, counts/mC, error
0.17837 5.69797 90574.4 2758.65
0.181938 5.58624 99339.3 2882.13
0.185576 5.47671 104697 2951.85
0.189288 5.36932 117880 3124.9
0.193074 5.26404 118990 3132.4
0.196935 5.16082 125596 3210.93
0.200874 5.05963 130270 3262.87
0.204891 4.96042 136129 3328.15
0.208989 4.86316 146319 3443.05
0.213169 4.7678 155381 3540.54
0.217432 4.67432 151600 3489.91
0.221781 4.58266 148898 3451.56
0.226217 4.49281 152201 3482.58
0.230741 4.40471 153025 3485.04
0.235356 4.31835 156695 3519.68
0.240063 4.23367 159557 3544.83
0.244864 4.15066 163973 3586.74
0.249761 4.06927 153669 3465.73
0.254757 3.98948 145162 3362.24
0.259852 3.91126 151466 3428.26
0.265049 3.83457 157190 3486.23
0.27035 3.75938 162496 3538.38
0.275757 3.68567 168694 3599.02
0.281272 3.6134 173479 3643.53
0.286897 3.54255 174198 3644.99
0.292635 3.47309 173248 3629.07
0.298488 3.40499 176857 3660.77
0.304458 3.33822 187627 3764.6
0.310547 3.27277 180341 3685.03
0.316758 3.2086 184217 3718.71
0.323093 3.14568 189724 3768.19
0.329555 3.084 186475 3730.25
0.336146 3.02353 184146 3701.47
0.342869 2.96425 185102 3705.75
0.349726 2.90612 184433 3693.83
0.356721 2.84914 174183 3584.75
0.363855 2.79328 175180 3590.1
0.371132 2.73851 175078 3584.24
0.378555 2.68481 182375 3653.35
0.386126 2.63217 172852 3552.09
