# Theta: 0.599733
# Slit 1 (h x w): 0.39 x 20
# Slit 2 (h x w): 0.25 x 20.0002
# Q, wavelength, counts/mC, error
0.022746 5.78273 1468.13 45.0083
0.0232009 5.66934 1509.63 45.5999
0.0236649 5.55818 1685.78 48.1454
0.0241382 5.4492 1758.42 49.1302
0.024621 5.34235 1977.51 52.0576
0.0251134 5.2376 2015.32 52.5101
0.0256157 5.1349 2098.15 53.5353
0.026128 5.03422 2244.87 55.3319
0.0266505 4.93551 2301.31 55.9799
0.0271835 4.83873 2460.98 57.8453
0.0277272 4.74385 2658.24 60.0741
0.0282818 4.65084 2451 57.6427
0.0288474 4.55964 2528.7 58.5072
0.0294243 4.47024 2633.28 59.6626
0.0300128 4.38259 2620.18 59.4728
0.0306131 4.29665 2678.63 60.0916
0.0312253 4.21241 2798.91 61.3849
0.0318498 4.12981 2761.63 60.9348
0.0324868 4.04883 2595.6 59.0367
0.0331366 3.96944 2498.45 57.8847
0.0337993 3.89161 2677.51 59.886
0.0344753 3.81531 2706.36 60.1711
0.0351648 3.7405 2863.47 61.856
0.0358681 3.66715 2948.2 62.7277
0.0365855 3.59525 2986.13 63.0936
0.0373172 3.52475 3044.01 63.6662
0.0380635 3.45564 3063.25 63.8316
0.0388248 3.38788 3138.31 64.5737
0.0396013 3.32145 3282.28 66.0031
0.0403933 3.25633 3257.63 65.7202
0.0412012 3.19248 3177.46 64.8731
0.0420252 3.12988 3359.49 66.6718
0.0428657 3.06851 3333.69 66.3824
0.043723 3.00834 3226.13 65.2709
0.0445975 2.94936 3299.57 65.9782
0.0454894 2.89153 3267.48 65.6259
0.0463992 2.83483 3055.1 63.4281
0.0473272 2.77924 3193.12 64.8158
0.0482737 2.72475 3158.75 64.4374
0.0492392 2.67132 3220.36 65.0346
