# Theta: 0.599896
# Slit 1 (h x w): 0.39 x 20
# Slit 2 (h x w): 0.25 x 20.0002
# Q, wavelength, counts/mC, error
0.0156135 8.42663 281.339 8.96877
0.0159258 8.2614 352.697 10.0362
0.0162443 8.09941 369.415 10.2655
0.0165692 7.9406 416.876 10.8989
0.0169006 7.7849 459.118 11.4316
0.0172386 7.63226 500.993 11.9352
0.0175834 7.4826 549.321 12.491
0.017935 7.33589 617.138 13.2328
0.0182937 7.19205 639.758 13.4664
0.0186596 7.05103 705.67 14.136
0.0190328 6.91277 782.215 14.8757
0.0194135 6.77723 846.473 15.4673
0.0198017 6.64434 898.201 15.9254
0.0201978 6.51406 1002.32 16.8154
0.0206017 6.38633 1030.44 17.042
0.0210138 6.26111 1149.78 17.9938
0.021434 6.13834 1214.33 18.4841
0.0218627 6.01798 1326.87 19.3134
0.0223 5.89998 1410.87 19.907
0.022746 5.7843 1475.94 20.3525
0.0232009 5.67088 1591.69 21.127
0.0236649 5.55969 1674.5 21.661
