# Theta: 0.600058
# Slit 1 (h x w): 0.391 x 20
# Slit 2 (h x w): 0.25 x 20.0002
# Q, wavelength, counts/mC, error
0.0118331 11.1218 82.7849 1.98747
0.0120698 10.9037 93.2765 2.11013
0.0123112 10.6899 105.782 2.24764
0.0125574 10.4803 118.681 2.38124
0.0128085 10.2748 131.397 2.50611
0.0130647 10.0733 145.128 2.63434
0.013326 9.87581 164.897 2.80861
0.0135925 9.68217 179.511 2.93101
0.0138644 9.49232 200.216 3.09604
0.0141417 9.30619 219.259 3.24055
0.0144245 9.12372 248.424 3.45
0.014713 8.94482 264.428 3.56005
0.0150072 8.76944 295.689 3.76529
0.0153074 8.59749 327.93 3.96596
0.0156135 8.42891 361.678 4.16576
